127.0.0.1 - - [19/Apr/2023:12:06:25 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [19/Apr/2023:12:06:40 +0900] "GET /sns-project/sns/sideBar.html HTTP/1.1" 200 3326
0:0:0:0:0:0:0:1 - - [19/Apr/2023:12:06:40 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [19/Apr/2023:12:06:48 +0900] "GET /sns-project/sns/alert.html HTTP/1.1" 200 2292
0:0:0:0:0:0:0:1 - - [19/Apr/2023:12:07:20 +0900] "GET /sns-project/sns/alert.html HTTP/1.1" 200 2292
0:0:0:0:0:0:0:1 - - [19/Apr/2023:12:10:52 +0900] "GET /sns-project/sns/alert.html HTTP/1.1" 200 1679
0:0:0:0:0:0:0:1 - - [19/Apr/2023:12:11:12 +0900] "GET /sns-project/sns/alert.html HTTP/1.1" 200 1679
0:0:0:0:0:0:0:1 - - [19/Apr/2023:12:13:27 +0900] "GET /sns-project/sns/alert.html HTTP/1.1" 200 1740
0:0:0:0:0:0:0:1 - - [19/Apr/2023:12:17:02 +0900] "GET /sns-project/sns/alert.html HTTP/1.1" 200 1460
0:0:0:0:0:0:0:1 - - [19/Apr/2023:12:17:02 +0900] "GET /sns-project/sns/chat-icon.png HTTP/1.1" 404 844
0:0:0:0:0:0:0:1 - - [19/Apr/2023:12:17:55 +0900] "GET /sns-project/sns/alert.html HTTP/1.1" 200 1461
0:0:0:0:0:0:0:1 - - [19/Apr/2023:12:17:55 +0900] "GET /sns-project/sns/chat-icon.png HTTP/1.1" 404 844
0:0:0:0:0:0:0:1 - - [19/Apr/2023:12:18:18 +0900] "GET /sns-project/sns/alert.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Apr/2023:12:18:18 +0900] "GET /sns-project/sns/chat-icon.png HTTP/1.1" 404 844
0:0:0:0:0:0:0:1 - - [19/Apr/2023:12:19:04 +0900] "GET /sns-project/sns/alert.html HTTP/1.1" 200 1461
0:0:0:0:0:0:0:1 - - [19/Apr/2023:12:19:04 +0900] "GET /sns-project/sns/chat-icon.png HTTP/1.1" 404 844
0:0:0:0:0:0:0:1 - - [19/Apr/2023:12:19:24 +0900] "GET /sns-project/sns/alert.html HTTP/1.1" 304 -
