127.0.0.1 - - [02/May/2023:17:45:27 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [02/May/2023:17:45:29 +0900] "GET /sns-project/sns/alert.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/May/2023:17:45:29 +0900] "GET /sns-project/sns/images/mainAlarmFalse.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/May/2023:17:45:29 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [02/May/2023:17:45:34 +0900] "GET /sns-project/sns/images/mainAlarmTrue.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/May/2023:17:50:01 +0900] "GET /sns-project/sns/quest.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/May/2023:17:50:01 +0900] "GET /sns-project/sns/images/20230311_210102.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/May/2023:17:50:01 +0900] "GET /sns-project/sns/images/20230311_210726.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/May/2023:17:50:01 +0900] "GET /sns-project/sns/images/20230311_211207.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/May/2023:17:50:01 +0900] "GET /sns-project/sns/images/pictures.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/May/2023:17:50:01 +0900] "GET /sns-project/sns/images/20230311_211718.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/May/2023:17:50:01 +0900] "GET /sns-project/sns/images/20230311_212519.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/May/2023:17:50:01 +0900] "GET /sns-project/sns/images/20230311_212734.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/May/2023:17:50:01 +0900] "GET /sns-project/sns/images/20230406_202250.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/May/2023:17:50:01 +0900] "GET /sns-project/sns/images/20230426_202538.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/May/2023:17:50:01 +0900] "GET /sns-project/sns/images/beauty_20230311210545.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/May/2023:17:50:01 +0900] "GET /sns-project/sns/images/20230426_200013.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/May/2023:17:50:01 +0900] "GET /sns-project/sns/images/20230426_201512.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/May/2023:17:50:01 +0900] "GET /sns-project/sns/images/20230311_213951.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/May/2023:17:50:01 +0900] "GET /sns-project/sns/images/20230318_192715.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/May/2023:17:50:01 +0900] "GET /sns-project/sns/images/20230319_183853.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/May/2023:17:50:01 +0900] "GET /sns-project/sns/images/20230426_200010.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/May/2023:17:50:01 +0900] "GET /sns-project/sns/images/20230426_202523.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/May/2023:17:50:01 +0900] "GET /sns-project/sns/images/20230426_203432.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/May/2023:17:50:01 +0900] "GET /sns-project/sns/images/20230426_203407.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/May/2023:17:50:02 +0900] "GET /favicon.ico HTTP/1.1" 404 818
